tweet_id,kurdish_tweets,sentiment,author,content,tweets,kurdish_sentiments
1693956175,سوپاس بۆ ئاماژەدان بە کێشە چارەنووسسازەکان هەردووکیان ئاگادار کراون (cc:,empty,imba,Thanks for pointing out the crucial problems @thakkar. Both of them have been taken care of  (cc: @Netra),Thanks for pointing out the crucial problems Both of them have been taken care of (cc:,بەتاڵ
1693956189,تکایە مۆسیقای پەنیری پشتگوێ بخەن,surprise,pinkpebs,please ignore cheesey music,please ignore cheesey music,سوپرایز
1693956239,تازە لە کۆبوونەوەیەک لەگەڵ کچەکان گەیشتمە ماڵەوە... Maaaaaan من ماندوو بووم!! شه‌وشاد جیهان,neutral,KikiFitzgerald,just got home from a meeting with the girls... Maaaaaan I'm exhausted!! Goodnight world,just got home from a meeting with the girls... Maaaaaan I'm exhausted!! Goodnight world,ئاسایی
1693956292,خخخ thats ئەو جۆرەی من دەیخۆم!!,neutral,ShareaMonyc,@db0y8199 lol thats the kind im eating!!,lol thats the kind im eating!!,ئاسایی
1693956462,سەرکەوتن بۆ بولدۆگەکان بە ٣ کێکی پەنیری شوکولاتەی سپی nom nom nom WHATTA FATTYYY ئاهەنگیان گێڕا,happiness,bellasaurus,victory for the bulldogs was celebrated by 3 white chocolate cheesecakes  nom nom nom WHATTA FATTYYY,victory for the bulldogs was celebrated by 3 white chocolate cheesecakes nom nom nom WHATTA FATTYYY,بەختەوەر
1693956520,http://tinyurl.com/ateltl &lt;-- ڕۆکستیدی pt II,worry,cali_mara285,http://tinyurl.com/ateltl &lt;-- Rocksteady pt II,http://tinyurl.com/ateltl &lt;-- Rocksteady pt II,نیگەران
1693956545,باشە outta هەموو 981 فۆڵۆوەرەکانم، تەنها نزیکەی 10 لە u ive قسەیان لەگەڵ lol dont be shy i dont biteeee,love,kiannabanks,"ok outta all 981 of my followers, only about 10 of u ive talked to lol dont be shy i dont biteeee","ok outta all 981 of my followers, only about 10 of u ive talked to lol dont be shy i dont biteeee",خۆشەویستی
1693956612,holllaaa .. من نازانم چی ur تا دەیکەم بەڵام من هەوڵ دەدەم تا هەندێک کار بۆ قوتابخانە تەواو بکەم... bout بۆ ئەوەی بچمە سەر جێگا هەرچەندە,enthusiasm,i_can_deal,@souljaboytellem holllaaa.. i dont know what ur up doing but im trying to finish up some work for school... bout to go to bed though,holllaaa.. i dont know what ur up doing but im trying to finish up some work for school... bout to go to bed though,پەرۆش
1693956638,وە من تەنها هەموو شتێکی بچووکم خۆشدەوێت دەربارەی تۆ...,love,chlosexx3,And I just love every little thing about you...,And I just love every little thing about you...,خۆشەویستی
1693956680,لە ماکبۆکەکەمدا لینوکس بە Parallels بەڕێوەدەبەم و لەسەر ئای ماکەکەم VMware Fusion بەکاردەهێنم و هەردووکیان زۆر باشن، بە تایبەت لە &quot;Unity&quot;-mode.,enthusiasm,devilx,"@_everaldo on my MacBook I run Linux with Parallels and on my iMac I use VMware Fusion and both are great, especially in &quot;Unity&quot;-mode.","on my MacBook I run Linux with Parallels and on my iMac I use VMware Fusion and both are great, especially in &quot;Unity&quot;-mode.",پەرۆش
1693956708,من Job م هەیە ئەمە ڕۆژێکی خۆشە باشتر نابێت,love,C_Weilert,I have the Job  this is a nice day it can not be better,I have the Job this is a nice day it can not be better,خۆشەویستی
1693956727,ئێستا دەڕۆم.سەیری teen nick دەکەم!,fun,ohmymae,I'll go now.I'll watch teen nick!,I'll go now.I'll watch teen nick!,خۆشی
1693956828,پێویستی بە پشووە لە کۆمپیوتەر... adios &lt;3,neutral,Broooooke_,needs a break from the computer... adios  &lt;3,needs a break from the computer... adios &lt;3,ئاسایی
1693956829,تویت قحبە ؟ من تا ١٠ هەزار تویتم,surprise,deadstockric,"Tweet whore ? I am up to 10,000 tweets","Tweet whore ? I am up to 10,000 tweets",سوپرایز
1693956875,کاتی خەوتنم........,neutral,Meg92,Time for me to sleep........,Time for me to sleep........,ئاسایی
1693956889,تەنها لەناو پاسەکەدا بە دەنگی بەرز پێکەنینم بە خوێندنەوەی بەیاننامەی ئەخلاقی تۆ. خەڵک دوور کەوتنەوە. ئەو ئەو ئەو.,neutral,crustyadventure,@paulcarr I just laughed out loud on the bus reading your statement of ethics. People moved away. He he he.,I just laughed out loud on the bus reading your statement of ethics. People moved away. He he he.,ئاسایی
1693957015,سوپاس بۆ ئەوە سارا,happiness,Fio09,"@saraLDS Thanks for that, Sara","Thanks for that, Sara",بەختەوەر
1693957082,دیزاینی کارەکتەرەکان تەواو! .... نزیکەی هەفتەیەکی تر لوتکەی دزێوێکی تر دەدەین... لە پۆستەکەدا بمێنەرەوە!,neutral,cbmu,character designs complete! .... in about a week we'll give another sneak peak... stay posted!,character designs complete! .... in about a week we'll give another sneak peak... stay posted!,ئاسایی
1693957194,پەنجەکان بۆ تۆ یەکتر بڕین.,neutral,australiandaisy,@lmchugh fingers crossed for you.,fingers crossed for you.,ئاسایی
1693957214,باشە بەخێر بێیت لە لایەنی تاریکەوە!,happiness,HarryHarley,@Tony_Mandarich well welcome back from the dark side!,well welcome back from the dark side!,بەختەوەر
1693957230,"خخخ , تۆش پێویستە بەشی بکەیت",happiness,ohdichi,"@sai_shediddy lol , you gotta share too","lol , you gotta share too",بەختەوەر
1693957263,سەرەتا، کاتەکانی لەدەستچوو بە جەلی قەرەبوو بکەرەوە. Jalan jalan تەنها 2 کەسەکەمان و ڕۆلەربلیدینگەکە لەگەڵ قووتەکەم. هەپە,happiness,yyinc,"first up, make up for lost time with jelly. Jalan jalan just the 2 of us  and the rollerblading with my pumpkin. Happeh","first up, make up for lost time with jelly. Jalan jalan just the 2 of us and the rollerblading with my pumpkin. Happeh",بەختەوەر
1693957307,یەکێکی تر بۆ ئێوە!,happiness,understandniche,@redrobinrockn next one for you!,next one for you!,بەختەوەر
1693957315,پشیلەکانم چێژ لە تیشکی خۆر لە پەنجەرە کراوەکانەوە وەردەگرن. پێم وایە ئەوە ئەژمار دەکرێت.,love,mtidwell,@CPaladino My cats enjoy the sunbeams from the open windows.  I think that counts.,My cats enjoy the sunbeams from the open windows. I think that counts.,خۆشەویستی
1693957402,ناتوانم چاوەڕێ بکەم تا بچمە فلۆریدا!!,fun,stackface,I cannot wait to go to FLORIDA!!,I cannot wait to go to FLORIDA!!,خۆشی
1693957410,نەک goin tto tafe,worry,LINNDOR,not goin tto tafe,not goin tto tafe,نیگەران
1693957440,سوزان ئیگان، من خۆشم دەوێت! و بەڵێ، دەیگوت گەشتێکی خۆشم دەبێت.,love,ChristinaStokes,"@urbanpinkpixie Susan Egan, I love her! And yeah, it said I would have a pleasant trip.","Susan Egan, I love her! And yeah, it said I would have a pleasant trip.",خۆشەویستی
